Date,Time,ConduSPercm,Depth_m,nLF_Cond_ µSPercm,ODOPercSat,ODOmgPerL,ORP_mV,Pressure_psi,Sal_psu,SpCond_uSPercm,TDSmgPerL,Turbidity_FNU,pH,Temp_C,VerticalPosition_m,Latitude,Longitude,Altitude_m,Barometer_mmHg
3/29/2022,14:17:43,385.5,-0.154,507.5,123.5,12.97,112.5,-0.219,0.24,499.2,324,1.6,8.03,13.076,-0.155,36.0912,-86.68409,138,748.8
3/29/2022,14:18:32,384.1,-0.155,505.8,120.4,12.65,110.9,-0.22,0.24,497.5,323,1.88,8.08,13.07,-0.145,36.09126,-86.6841,135.1,748.7
3/29/2022,14:27:51,382.8,-0.161,482.9,88.2,8.69,129.5,-0.228,0.23,475.6,309,290.74,7.83,14.786,-0.161,36.0912,-86.6841,143.1,748.6
3/29/2022,14:32:51,384.1,-0.16,504.6,124.9,13.1,133.9,-0.228,0.24,496.4,323,1.48,7.83,13.158,-0.158,36.09155,-86.68597,146,748.5
3/29/2022,14:37:51,384.2,-0.158,499.7,116.9,12.15,134.5,-0.225,0.24,491.7,320,199.35,7.91,13.552,-0.165,36.09382,-86.68925,143.1,748.6
3/29/2022,14:47:51,387.1,-0.149,501.9,138.7,14.38,141.5,-0.211,0.24,493.9,321,1.26,8.03,13.675,-0.14,36.09544,-86.69366,142.6,748.4
3/29/2022,14:57:51,386.5,-0.159,497.1,149.5,15.39,145.3,-0.226,0.24,489.3,318,1.17,8.12,13.998,-0.162,36.09826,-86.69889,142.9,748.5
3/29/2022,15:09:45,386.4,-0.163,493.1,145.9,14.92,153.8,-0.231,0.24,485.5,316,2.18,8.21,14.311,-0.165,36.09915,-86.70228,142.8,748.3
3/29/2022,15:19:45,357.1,-0.164,454.3,153.2,15.62,148.5,-0.233,0.22,447.3,291,1.23,8.29,14.441,-0.177,36.09952,-86.70972,143.3,748.3
3/29/2022,15:24:45,385.2,-0.167,476.3,105.9,10.52,151.2,-0.238,0.23,469.5,305,23.01,8.41,15.604,-0.166,36.1015,-86.71149,140.9,748.3
3/29/2022,15:29:45,386.7,-0.162,486.5,145.5,14.68,144.5,-0.23,0.23,479.2,311,1.1,8.45,14.898,-0.172,36.10442,-86.71107,140.3,748.4
3/29/2022,15:39:45,377.8,-0.161,475.5,148.3,14.98,142.9,-0.229,0.23,468.3,304,1.92,8.51,14.882,-0.149,36.11111,-86.71016,144,748.6
3/29/2022,15:44:45,299.9,-0.16,377.5,151.3,15.28,144,-0.228,0.18,371.8,242,6.19,8.51,14.881,-0.147,36.11489,-86.71142,141.8,748.6
3/29/2022,15:54:45,384.5,-0.16,483.7,154.3,15.57,144.4,-0.227,0.23,476.5,310,1.05,8.54,14.894,-0.154,36.11757,-86.71916,139,748.5
3/29/2022,16:12:31,385.7,-0.165,482,103.4,10.37,199.4,-0.235,0.23,474.8,309,1.35,8.63,15.171,-0.17,36.11771,-86.71922,144.5,748.2
3/29/2022,16:17:31,379.6,-0.167,476.6,143.4,14.45,185,-0.238,0.23,469.5,305,5.23,8.64,14.982,-0.165,36.11833,-86.72297,124.1,748.1
3/29/2022,16:22:31,290.4,-0.166,364.8,140.4,14.17,180.2,-0.235,0.17,359.3,234,1.38,8.57,14.956,-0.168,36.12021,-86.7261,132,748.2
3/29/2022,16:37:31,348.7,-0.164,436.8,145.5,14.64,167.6,-0.232,0.21,430.3,280,2.29,8.63,15.078,-0.153,36.12609,-86.71702,132.1,748.4
3/29/2022,16:42:31,249,-0.161,311.6,149.4,15.02,167.1,-0.229,0.15,307,200,1.9,8.62,15.119,-0.163,36.12857,-86.71442,132.1,748.5
3/29/2022,16:47:31,382.7,-0.16,477.9,147.6,14.8,139.3,-0.227,0.23,470.8,306,1.61,8.62,15.203,-0.15,36.13047,-86.71266,116.2,748.4
3/29/2022,16:52:31,368.7,-0.162,459.9,149.9,15.01,138.4,-0.229,0.22,453.1,295,0.95,8.66,15.252,-0.164,36.13312,-86.71004,149.1,748.4
3/29/2022,16:57:31,383.5,-0.162,477.9,151.4,15.16,140.7,-0.23,0.23,470.9,306,1.01,8.68,15.287,-0.177,36.13585,-86.71233,134.1,748.5
3/29/2022,17:04:22,383.8,-0.163,477.6,120.7,12.07,140.3,-0.232,0.23,470.6,306,6.76,8.71,15.343,-0.168,36.13661,-86.71394,131,748.4
3/29/2022,17:05:06,383.3,-0.164,477.3,143.1,14.31,142.2,-0.232,0.23,470.3,306,1.01,8.69,15.316,-0.161,36.13686,-86.71455,125.5,748.4
3/29/2022,17:10:06,383.2,-0.16,477.2,144.5,14.45,148.6,-0.228,0.23,470.2,306,0.86,8.62,15.308,-0.163,36.13804,-86.71656,128.2,748.4
3/29/2022,17:15:06,371.5,-0.165,462.3,142.9,14.29,151.1,-0.234,0.22,455.6,296,9.55,8.67,15.344,-0.178,36.13974,-86.71737,125.7,748.4
3/29/2022,17:20:06,382.9,-0.16,476.8,139.5,13.95,150.4,-0.227,0.23,469.8,305,298.62,8.69,15.315,-0.161,36.14204,-86.7142,121.4,748.6
